NC_002952	49482253
NC_017537	386025288
NC_016945	379743460
NC_010723	188587536
NC_017644	386617516
NC_003028	194172857
NC_015214	325955721
NC_017214	384189768
NC_022369	544393402
NC_002946	59800473
NC_005945	49183039
NC_003997	30260195
NC_012655	229599623
NC_003980	21392688
NC_012577	227811309
NC_017726	386733559
AC_000191	564619457
NC_002685	34303903
NC_001806	9629378
NC_011523	211956446
NC_008371	115315628
NC_001486	9626719
NC_006432	55770807
NC_003443	19525721
NC_005831	49169782
NC_001517	9627034
