Total Number of Aligned Reads:	268	Total Number of Mapped Genomes:	4
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|332937	0.9999999997010627	0.9850746268656716	264.0	0.9850746268656716	0.0	0.9999999713114364	0.9776119402985075	262.0	0.9776119402985075	0.0
ti|10325	2.1403795997164412e-10	0.0037313432835820895	1.0	0.0037313432835820895	0.0	1.2301526678837358e-08	0.007462686567164179	2.0	0.007462686567164179	0.0
ti|10317	8.489931984179974e-11	0.011194029850746268	3.0	0.011194029850746268	0.0	1.6378047034007934e-08	0.014925373134328358	4.0	0.014925373134328358	0.0
