Total Number of Aligned Reads:	1000	Total Number of Mapped Genomes:	35
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|191218	0.9958081373287692	0.995	995.0	0.995	0.0	0.17882363967098	0.18573690476190305	185.73690476190305	0.0	0.994
ti|592021	0.004191862671241368	0.005	5.0	0.005	0.0	0.17645053193755933	0.182594047619046	182.594047619046	0.0	0.98
