Total Number of Aligned Reads:	1	Total Number of Mapped Genomes:	6
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|585143	0.1686994733019171	1.0	1.0	0.0	1.0	0.1686994733019171	1.0	1.0	0.0	1.0
ti|663951	0.1669493129914547	0.0	0.0	0.0	0.0	0.1669493129914547	0.0	0.0	0.0	0.0
ti|282458	0.1669493129914547	0.0	0.0	0.0	0.0	0.1669493129914547	0.0	0.0	0.0	0.0
ti|1321369	0.1669493129914547	0.0	0.0	0.0	0.0	0.1669493129914547	0.0	0.0	0.0	0.0
ti|1006543	0.1669493129914547	0.0	0.0	0.0	0.0	0.1669493129914547	0.0	0.0	0.0	0.0
ti|548473	0.1635032747322641	0.0	0.0	0.0	0.0	0.1635032747322641	0.0	0.0	0.0	0.0
