Total Number of Aligned Reads:	1	Total Number of Mapped Genomes:	5
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|768494	0.2057139139121315	0.25	0.25	0.0	1.0	0.2057139139121315	0.25	0.25	0.0	1.0
ti|592021	0.2057139139121315	0.25	0.25	0.0	1.0	0.2057139139121315	0.25	0.25	0.0	1.0
ti|261594	0.2057139139121315	0.25	0.25	0.0	1.0	0.2057139139121315	0.25	0.25	0.0	1.0
ti|191218	0.2057139139121315	0.25	0.25	0.0	1.0	0.2057139139121315	0.25	0.25	0.0	1.0
ti|568206	0.17714434435147391	0.0	0.0	0.0	0.0	0.17714434435147391	0.0	0.0	0.0	0.0
