Total Number of Aligned Reads:	1000	Total Number of Mapped Genomes:	238
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|170187	0.5000000384289066	1.0	1000.0	1.0	0.0	0.13540917139988654	0.5275785963783076	527.5785963783076	0.058	0.938
ti|488222	0.4999999615710935	0.0	0.0	0.0	0.0	0.1354091712882558	0.02980835534912734	29.80835534912734	0.0	0.216
