Total Number of Aligned Reads:	713	Total Number of Mapped Genomes:	34
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|935198	1.0	0.9957924263674615	710.0	0.9957924263674615	0.0	1.0	0.9957924263674615	710.0	0.9929873772791024	0.002805049088359046
ti|441772	7.106287841467713e-37	0.001402524544179523	1.0	0.0	0.001402524544179523	5.632687397178196e-31	0.0007012622720897616	0.5	0.0	0.001402524544179523
