Total Number of Aligned Reads:	170	Total Number of Mapped Genomes:	4
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|332937	1.0	0.9823529411764705	167.0	0.9823529411764705	0.0	1.0	0.9823529411764705	167.0	0.9823529411764705	0.0
ti|10325	1.372431247211001e-32	0.011764705882352941	2.0	0.011764705882352941	0.0	4.150750434950987e-19	0.011764705882352941	2.0	0.011764705882352941	0.0
ti|340907	8.722949617313331e-38	0.0058823529411764705	1.0	0.0058823529411764705	0.0	2.160955021094346e-22	0.0058823529411764705	1.0	0.0058823529411764705	0.0
