Total Number of Aligned Reads:	976	Total Number of Mapped Genomes:	8
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|31532	1.0	0.9918032786885246	968.0	0.9918032786885246	0.0	0.9999249829373104	0.7156762295081968	698.5	0.6588114754098361	0.08094262295081968
ti|1262533	1.340793164212678e-29	0.006147540983606557	6.0	0.006147540983606557	0.0	7.49467177270078e-05	0.07325819672131148	71.5	0.03381147540983607	0.039959016393442626
ti|1262538	9.461301252743416e-37	0.0020491803278688526	2.0	0.0020491803278688526	0.0	7.71158237275699e-09	0.025102459016393443	24.5	0.009221311475409836	0.01639344262295082
