Total Number of Aligned Reads:	1000	Total Number of Mapped Genomes:	181
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|552536	0.33333333357507366	0.4985	498.5	0.0	0.997	0.054793880380286764	0.32314669714246247	323.1466971424625	0.0	0.996
ti|1030009	0.33333333357507366	0.5015	501.5	0.001	0.999	0.054793880380286764	0.3251466971424624	325.1466971424624	0.001	0.998
ti|563174	0.3333333328498531	0.0	0.0	0.0	0.0	0.0547938803802867	0.32031336380912934	320.3133638091293	0.0	0.99
